date,tests,newCases,activeCases,severeCases,recovered,deaths,rt
2020-01-16,,1.0,,,,,
2020-01-17,,0.0,,,,,
2020-01-18,,0.0,,,,,
2020-01-19,,0.0,,,,,
2020-01-20,,0.0,,,,,
2020-01-21,,0.0,,,,,
2020-01-22,,0.0,,,,,
2020-01-23,,0.0,,,,,
2020-01-24,,1.0,,,,,
2020-01-25,,1.0,,,,,
2020-01-26,,1.0,,,,,
2020-01-27,,0.0,,,,,
2020-01-28,,3.0,,,,,
2020-01-29,,1.0,,,,1.0,
2020-01-30,,4.0,,,,1.0,
2020-01-31,,0.0,,,,1.0,
2020-02-01,,0.0,,,,1.0,
2020-02-02,,0.0,,,,1.0,
2020-02-03,,0.0,,,,1.0,
2020-02-04,,1.0,15.0,,,1.0,
2020-02-05,4,2.0,16.0,0.0,,4.0,
2020-02-06,19,0.0,12.0,0.0,,4.0,
2020-02-07,9,0.0,12.0,0.0,,6.0,
2020-02-08,4,0.0,7.0,0.0,,9.0,
2020-02-09,10,0.0,7.0,0.0,,9.0,
2020-02-10,12,0.0,7.0,0.0,,9.0,
2020-02-11,4,1.0,6.0,0.0,,10.0,
2020-02-12,10,1.0,6.0,0.0,,11.0,
2020-02-13,16,3.0,6.0,0.0,,11.0,
2020-02-14,43,5.0,9.0,2.0,1.0,12.0,
2020-02-15,86,4.0,24.0,3.0,1.0,12.0,
2020-02-16,65,1.0,24.0,3.0,1.0,13.0,
2020-02-17,113,6.0,24.0,3.0,1.0,12.0,
2020-02-18,9,8.0,31.0,6.0,1.0,14.0,
2020-02-19,71,9.0,35.0,7.0,1.0,16.0,
2020-02-20,90,8.0,52.0,9.0,1.0,16.0,
2020-02-21,85,13.0,62.0,10.0,1.0,16.0,
2020-02-22,96,23.0,96.0,11.0,1.0,17.0,
2020-02-23,39,10.0,108.0,13.0,1.0,17.0,
2020-02-24,104,16.0,121.0,14.0,1.0,18.0,
2020-02-25,44,8.0,125.0,15.0,1.0,23.0,
2020-02-26,168,22.0,138.0,16.0,1.0,23.0,
2020-02-27,151,24.0,161.0,20.0,3.0,30.0,
2020-02-28,130,19.0,176.0,22.0,4.0,30.0,
2020-02-29,178,9.0,188.0,23.0,5.0,31.0,
2020-03-01,96,14.0,201.0,23.0,5.0,31.0,1.31
2020-03-02,71,14.0,212.0,24.0,6.0,32.0,1.18
2020-03-03,153,22.0,226.0,24.0,6.0,35.0,1.29
2020-03-04,3940,34.0,258.0,27.0,6.0,37.0,1.25
2020-03-05,699,33.0,271.0,30.0,6.0,38.0,1.17
2020-03-06,553,54.0,323.0,28.0,6.0,56.0,1.32
2020-03-07,147,44.0,366.0,33.0,6.0,63.0,1.64
2020-03-08,110,35.0,377.0,33.0,6.0,67.0,1.7
2020-03-09,1314,27.0,400.0,31.0,7.0,88.0,1.79
2020-03-10,424,60.0,437.0,26.0,9.0,89.0,1.82
2020-03-11,181,52.0,481.0,29.0,12.0,103.0,1.78
2020-03-12,1855,55.0,520.0,32.0,15.0,108.0,1.79
2020-03-13,859,34.0,548.0,35.0,19.0,120.0,1.46
2020-03-14,107,62.0,591.0,36.0,21.0,129.0,1.34
2020-03-15,42,29.0,603.0,41.0,22.0,142.0,1.24
2020-03-16,2083,16.0,621.0,46.0,24.0,149.0,1.16
2020-03-17,203,45.0,645.0,46.0,28.0,156.0,1.01
2020-03-18,,39.0,659.0,49.0,29.0,176.0,0.94
2020-03-19,3490,39.0,681.0,50.0,31.0,200.0,0.86
2020-03-20,119,52.0,723.0,55.0,33.0,212.0,0.94
2020-03-21,132,35.0,719.0,57.0,35.0,217.0,0.84
2020-03-22,56,45.0,743.0,54.0,36.0,257.0,0.89
2020-03-23,3862,39.0,763.0,55.0,41.0,270.0,0.97
2020-03-24,,89.0,816.0,57.0,42.0,285.0,1.11
2020-03-25,674,93.0,855.0,56.0,43.0,294.0,1.27
2020-03-26,1805,93.0,920.0,57.0,45.0,343.0,1.45
2020-03-27,1442,96.0,948.0,60.0,46.0,356.0,1.48
2020-03-28,296,222.0,1187.0,59.0,49.0,388.0,2.01
2020-03-29,206,151.0,1358.0,59.0,52.0,408.0,2.13
2020-03-30,3481,80.0,1423.0,59.0,54.0,408.0,2.09
2020-03-31,1914,227.0,1594.0,60.0,56.0,408.0,2.11
2020-04-01,,257.0,1757.0,62.0,57.0,456.0,2.12
2020-04-02,4685,281.0,1980.0,64.0,60.0,489.0,2.16
2020-04-03,3305,353.0,2227.0,69.0,63.0,498.0,2.3
2020-04-04,271,365.0,2553.0,70.0,69.0,559.0,1.94
2020-04-05,218,346.0,2921.0,79.0,70.0,568.0,1.89
2020-04-06,7876,248.0,3132.0,80.0,73.0,575.0,1.94
2020-04-07,4544,365.0,3472.0,99.0,80.0,605.0,1.81
2020-04-08,1383,522.0,3914.0,109.0,81.0,615.0,1.76
2020-04-09,2841,574.0,4461.0,117.0,85.0,668.0,1.7
2020-04-10,5389,640.0,5063.0,122.0,88.0,697.0,1.61
2020-04-11,1644,644.0,5751.0,129.0,94.0,745.0,1.61
2020-04-12,57,486.0,6239.0,135.0,98.0,767.0,1.54
2020-04-13,9252,387.0,6564.0,152.0,102.0,782.0,1.49
2020-04-14,8255,446.0,6961.0,168.0,109.0,836.0,1.44
2020-04-15,693,552.0,7388.0,193.0,119.0,884.0,1.34
2020-04-16,5325,558.0,7884.0,207.0,136.0,918.0,1.23
2020-04-17,4149,572.0,8448.0,211.0,148.0,995.0,1.13
2020-04-18,1004,577.0,8916.0,217.0,154.0,1052.0,1.05
2020-04-19,2953,377.0,9215.0,231.0,161.0,1142.0,1.0
2020-04-20,6816,346.0,9449.0,232.0,171.0,1222.0,0.96
2020-04-21,5542,389.0,9740.0,241.0,186.0,1339.0,0.94
2020-04-22,4415,446.0,10082.0,259.0,277.0,2023.0,0.91
2020-04-23,5349,439.0,10469.0,263.0,287.0,2391.0,0.89
2020-04-24,5187,444.0,10801.0,287.0,317.0,2519.0,0.87
2020-04-25,1250,371.0,11046.0,296.0,334.0,2645.0,0.84
2020-04-26,1136,224.0,11175.0,300.0,348.0,2798.0,0.83
2020-04-27,8545,182.0,11252.0,305.0,351.0,2888.0,0.8
2020-04-28,3244,279.0,11427.0,306.0,376.0,3170.0,0.78
2020-04-29,879,217.0,11585.0,308.0,389.0,3357.0,0.74
2020-04-30,8126,202.0,11424.0,328.0,415.0,3449.0,0.7
2020-05-01,6820,282.0,11558.0,324.0,432.0,3964.0,0.68
2020-05-02,880,288.0,11724.0,321.0,458.0,4194.0,0.69
2020-05-03,1012,195.0,11823.0,308.0,492.0,4368.0,0.71
2020-05-04,1332,181.0,11935.0,309.0,510.0,4479.0,0.74
2020-05-05,1569,119.0,11731.0,308.0,521.0,4570.0,0.71
2020-05-06,447,104.0,11638.0,300.0,543.0,4901.0,0.72
2020-05-07,13005,107.0,11286.0,287.0,551.0,5129.0,0.75
2020-05-08,10680,88.0,6302.0,266.0,600.0,8110.0,0.71
2020-05-09,2265,108.0,6250.0,267.0,613.0,8276.0,0.64
2020-05-10,3995,66.0,6074.0,249.0,621.0,8514.0,0.58
2020-05-11,5993,58.0,5914.0,243.0,643.0,8903.0,0.52
2020-05-12,288,87.0,5162.0,259.0,668.0,9851.0,0.53
2020-05-13,10074,55.0,4732.0,245.0,687.0,10321.0,0.53
2020-05-14,5866,99.0,4339.0,237.0,710.0,10792.0,0.56
2020-05-15,3092,55.0,4025.0,232.0,725.0,11136.0,0.6
2020-05-16,4337,56.0,3787.0,230.0,744.0,11398.0,0.63
2020-05-17,4987,29.0,3667.0,228.0,749.0,11547.0,0.67
2020-05-18,5980,30.0,3400.0,213.0,763.0,11867.0,0.72
2020-05-19,3221,32.0,3009.0,210.0,771.0,12269.0,0.67
