prefCode,prefJP,prefEN,date,tests,newCases,activeCases,severeCases,recovered,deaths,rt
1,北海道,Hokkaido,2020101,58133.0,2126.0,138.0,0.0,1881.0,107.0,1.16
1,北海道,Hokkaido,20201010,64209.0,2347.0,204.0,0.0,2029.0,107.0,1.38
1,北海道,Hokkaido,20201011,65059.0,2378.0,211.0,0.0,2050.0,107.0,1.4
1,北海道,Hokkaido,20201012,65584.0,2390.0,221.0,0.0,2073.0,107.0,1.15
1,北海道,Hokkaido,20201013,66373.0,2410.0,210.0,1.0,2096.0,107.0,1.21
1,北海道,Hokkaido,20201014,67282.0,2430.0,207.0,1.0,2129.0,107.0,1.01
1,北海道,Hokkaido,20201015,68209.0,2460.0,194.0,1.0,2166.0,107.0,0.97
1,北海道,Hokkaido,20201016,68951.0,2491.0,187.0,1.0,2184.0,108.0,0.94
1,北海道,Hokkaido,20201017,69832.0,2518.0,199.0,2.0,2199.0,108.0,0.93
1,北海道,Hokkaido,20201018,70302.0,2542.0,211.0,2.0,2221.0,108.0,0.88
1,北海道,Hokkaido,20201019,70602.0,2559.0,213.0,2.0,2246.0,108.0,0.98
1,北海道,Hokkaido,2020102,58835.0,2141.0,138.0,0.0,1899.0,107.0,1.03
1,北海道,Hokkaido,20201020,71450.0,2590.0,205.0,2.0,2266.0,108.0,1.0
1,北海道,Hokkaido,20201021,72274.0,2612.0,216.0,2.0,2287.0,108.0,1.08
1,北海道,Hokkaido,20201022,73414.0,2652.0,217.0,2.0,2309.0,108.0,1.12
1,北海道,Hokkaido,20201023,74331.0,2703.0,235.0,2.0,2335.0,108.0,1.18
1,北海道,Hokkaido,20201024,75383.0,2763.0,260.0,3.0,2363.0,108.0,1.29
1,北海道,Hokkaido,20201025,76018.0,2804.0,292.0,3.0,2384.0,109.0,1.4
1,北海道,Hokkaido,20201026,76941.0,2854.0,311.0,3.0,2402.0,109.0,1.49
1,北海道,Hokkaido,20201027,77707.0,2881.0,343.0,2.0,2441.0,109.0,1.41
1,北海道,Hokkaido,20201028,78717.0,2933.0,362.0,4.0,2462.0,109.0,1.5
1,北海道,Hokkaido,20201029,80053.0,2986.0,362.0,5.0,2494.0,109.0,1.49
1,北海道,Hokkaido,2020103,59459.0,2159.0,135.0,0.0,1916.0,107.0,1.18
1,北海道,Hokkaido,20201030,81092.0,3055.0,383.0,6.0,2538.0,109.0,1.44
1,北海道,Hokkaido,20201031,82323.0,3136.0,408.0,6.0,2580.0,110.0,1.35
1,北海道,Hokkaido,2020104,59856.0,2181.0,136.0,0.0,1926.0,107.0,1.18
1,北海道,Hokkaido,2020105,60281.0,2217.0,148.0,0.0,1937.0,107.0,1.28
1,北海道,Hokkaido,2020106,60894.0,2229.0,173.0,0.0,1948.0,107.0,1.2
1,北海道,Hokkaido,2020107,61798.0,2267.0,174.0,0.0,1964.0,107.0,1.3
1,北海道,Hokkaido,2020108,62719.0,2296.0,196.0,0.0,1991.0,107.0,1.29
1,北海道,Hokkaido,2020109,63459.0,2323.0,198.0,0.0,2012.0,107.0,1.44
1,北海道,Hokkaido,2020111,83712.0,3205.0,446.0,6.0,2603.0,110.0,1.36
1,北海道,Hokkaido,20201110,96113.0,4387.0,1094.0,11.0,3110.0,117.0,1.68
1,北海道,Hokkaido,20201111,98322.0,4584.0,1160.0,12.0,3176.0,120.0,1.76
1,北海道,Hokkaido,20201112,101035.0,4820.0,1288.0,14.0,3243.0,122.0,1.73
1,北海道,Hokkaido,20201113,103685.0,5055.0,1455.0,16.0,3324.0,123.0,1.75
1,北海道,Hokkaido,20201114,106601.0,5285.0,1608.0,18.0,3442.0,124.0,1.6
1,北海道,Hokkaido,20201115,108980.0,5494.0,1719.0,18.0,3525.0,127.0,1.52
1,北海道,Hokkaido,20201116,110887.0,5683.0,1842.0,18.0,3638.0,129.0,1.39
1,北海道,Hokkaido,20201117,113037.0,5880.0,1916.0,20.0,3846.0,131.0,1.32
1,北海道,Hokkaido,20201118,116432.0,6113.0,1903.0,18.0,4036.0,134.0,1.24
1,北海道,Hokkaido,20201119,119279.0,6380.0,1943.0,17.0,4246.0,141.0,1.17
1,北海道,Hokkaido,2020112,84892.0,3301.0,492.0,5.0,2646.0,110.0,1.35
1,北海道,Hokkaido,20201120,122381.0,6684.0,1993.0,19.0,4428.0,143.0,1.13
1,北海道,Hokkaido,20201121,125579.0,6918.0,2113.0,19.0,4629.0,146.0,1.11
1,北海道,Hokkaido,20201122,128775.0,7163.0,2143.0,19.0,4800.0,149.0,1.09
1,北海道,Hokkaido,20201123,130771.0,7369.0,2214.0,19.0,4910.0,152.0,1.11
1,北海道,Hokkaido,20201124,133167.0,7585.0,2307.0,19.0,5068.0,158.0,1.1
1,北海道,Hokkaido,20201125,135619.0,7766.0,2359.0,22.0,5302.0,164.0,1.06
1,北海道,Hokkaido,20201126,139729.0,8022.0,2300.0,21.0,5603.0,171.0,1.04
1,北海道,Hokkaido,20201127,143394.0,8274.0,2248.0,21.0,5825.0,180.0,0.98
1,北海道,Hokkaido,20201128,147128.0,8526.0,2269.0,23.0,5967.0,184.0,0.99
1,北海道,Hokkaido,20201129,150003.0,8718.0,2375.0,26.0,6206.0,189.0,0.95
1,北海道,Hokkaido,2020113,85892.0,3372.0,545.0,6.0,2690.0,112.0,1.45
1,北海道,Hokkaido,20201130,151817.0,8869.0,2425.0,27.0,6394.0,194.0,0.92
1,北海道,Hokkaido,2020114,87181.0,3447.0,570.0,6.0,2727.0,112.0,1.4
1,北海道,Hokkaido,2020115,88202.0,3566.0,608.0,9.0,2780.0,112.0,1.48
1,北海道,Hokkaido,2020116,89907.0,3681.0,674.0,10.0,2855.0,113.0,1.51
1,北海道,Hokkaido,2020116,,0.0,,,,,
1,北海道,Hokkaido,2020117,91667.0,3868.0,713.0,11.0,2906.0,113.0,1.62
1,北海道,Hokkaido,2020117,,0.0,,,,,
1,北海道,Hokkaido,2020118,92885.0,4021.0,769.0,11.0,2931.0,114.0,1.66
1,北海道,Hokkaido,2020118,,0.0,,,,,
1,北海道,Hokkaido,2020119,94853.0,4221.0,976.0,11.0,3012.0,115.0,1.67
1,北海道,Hokkaido,2020119,,0.0,,,,,
1,北海道,Hokkaido,2020120,,0.0,,,,,
1,北海道,Hokkaido,2020121,154998.0,9075.0,2281.0,28.0,6588.0,208.0,0.91
1,北海道,Hokkaido,2020121,,0.0,,,,,
1,北海道,Hokkaido,20201210,183390.0,10805.0,2252.0,32.0,8239.0,292.0,0.96
1,北海道,Hokkaido,20201211,187131.0,10982.0,2274.0,33.0,8459.0,302.0,0.96
1,北海道,Hokkaido,20201212,190249.0,11171.0,2221.0,33.0,8637.0,308.0,1.0
1,北海道,Hokkaido,20201213,192550.0,11335.0,2226.0,32.0,8738.0,315.0,0.99
1,北海道,Hokkaido,20201214,194520.0,11460.0,2282.0,32.0,8887.0,330.0,1.0
1,北海道,Hokkaido,20201215,196775.0,11564.0,2243.0,34.0,9040.0,341.0,0.95
1,北海道,Hokkaido,20201216,200304.0,11650.0,2183.0,37.0,9287.0,352.0,0.87
1,北海道,Hokkaido,20201217,203872.0,11789.0,2011.0,35.0,9493.0,358.0,0.8
1,北海道,Hokkaido,20201218,207002.0,11930.0,1938.0,35.0,9673.0,371.0,0.79
1,北海道,Hokkaido,20201219,209646.0,12062.0,1886.0,34.0,9856.0,381.0,0.76
1,北海道,Hokkaido,2020122,157664.0,9251.0,2279.0,28.0,6867.0,213.0,0.93
1,北海道,Hokkaido,2020122,,0.0,,,,,
1,北海道,Hokkaido,20201220,212225.0,12197.0,1825.0,35.0,9930.0,386.0,0.75
1,北海道,Hokkaido,20201221,213422.0,12307.0,1881.0,32.0,10065.0,394.0,0.74
1,北海道,Hokkaido,20201222,215175.0,12381.0,1848.0,31.0,10230.0,401.0,0.76
1,北海道,Hokkaido,20201223,218395.0,12495.0,1750.0,33.0,10418.0,411.0,0.84
1,北海道,Hokkaido,20201224,221431.0,12618.0,1666.0,28.0,10571.0,415.0,0.88
1,北海道,Hokkaido,20201225,224416.0,12715.0,1632.0,25.0,10713.0,423.0,0.87
1,北海道,Hokkaido,20201226,227301.0,12876.0,1579.0,24.0,10851.0,427.0,0.94
1,北海道,Hokkaido,20201227,229609.0,12961.0,1598.0,25.0,10906.0,434.0,0.92
1,北海道,Hokkaido,20201228,231206.0,13055.0,1621.0,23.0,10988.0,439.0,0.92
1,北海道,Hokkaido,20201229,233173.0,13142.0,1628.0,22.0,11106.0,445.0,0.95
